Total Error,Date,No grid found,Error during restoration,Untarring error,slide thickness error,Can not place slide,Snap Miss,Failed to Lock Slide,Slider did not move,No slide detected,ID
1,03-24-2021,0,0,0,0,1,0,0,0,0,S1
1,03-25-2021,0,0,0,0,0,0,1,0,0,S1
1,03-26-2021,0,0,0,0,0,0,1,0,0,S1
3,03-27-2021,0,0,0,0,3,0,0,0,0,S1
1,03-30-2021,1,0,0,0,0,0,0,0,0,S1
1,03-31-2021,0,0,0,0,1,0,0,0,0,S1
3,04-01-2021,1,0,0,0,2,0,0,0,0,S1
5,04-04-2021,1,0,0,2,1,0,1,0,0,S1
4,04-05-2021,2,0,0,0,2,0,0,0,0,S1
1,04-06-2021,1,0,0,0,1,0,0,0,0,S1
0,04-07-2021,0,0,0,0,0,0,0,0,0,S1
